Weather.Condition,Broad.phase.of.flight,total_accidents,avg_severity
IMC,APPROACH,781,-0.23175416133162613
IMC,CLIMB,214,-0.17289719626168223
IMC,CRUISE,1353,-0.2099039172209904
IMC,DESCENT,159,-0.25157232704402516
IMC,GO-AROUND,126,-0.1746031746031746
IMC,LANDING,318,-0.8522012578616353
IMC,MANEUVERING,358,-0.15921787709497207
IMC,OTHER,2,-0.5
IMC,STANDING,15,-0.5333333333333333
IMC,TAKEOFF,364,-0.3516483516483517
IMC,TAXI,46,-0.8478260869565217
IMC,UNKNOWN,52,-0.019230769230769232
UNK,APPROACH,32,-0.28125
UNK,CLIMB,20,-0.2
UNK,CRUISE,195,-0.11794871794871795
UNK,DESCENT,17,-0.23529411764705882
UNK,GO-AROUND,3,-0.6666666666666666
UNK,LANDING,50,-0.84
UNK,MANEUVERING,61,-0.22950819672131148
UNK,OTHER,2,-0.5
UNK,STANDING,15,-0.9333333333333333
UNK,TAKEOFF,36,-0.6666666666666666
UNK,TAXI,9,-1.0
UNK,UNKNOWN,79,-0.17721518987341772
VMC,APPROACH,4323,-0.6497802452000925
VMC,CLIMB,1321,-0.5692657077971234
VMC,CRUISE,6494,-0.6903295349553434
VMC,DESCENT,1208,-0.6622516556291391
VMC,GO-AROUND,937,-0.7129135538954109
VMC,LANDING,11240,-0.9391459074733096
VMC,MANEUVERING,6088,-0.48258869908015767
VMC,OTHER,89,-0.48314606741573035
VMC,STANDING,517,-0.7775628626692457
VMC,TAKEOFF,9536,-0.7163380872483222
VMC,TAXI,1384,-0.9595375722543352
VMC,UNKNOWN,330,-0.18181818181818182
